a    b    sig    dist1    
3.91017749594   1.2584821821   4.53242591065   54944407.2688    
3.96203920869   4.64728168231   2.01776953086   54722962.4706    
1.121567401   3.11185797742   4.67955787896   7147709.11948    
-0.790508863073   1.08795876086   0.372394229037   5435241.29225    
0.00158524556206   1.85432415777   1.67826164603   3320745.35569    
3.42013260296   2.68910745149   4.75722430327   46221594.028    
3.94016321507   1.05847003142   4.39548825657   53856806.0876    
-0.564919731949   0.833004333548   3.1291028551   4383478.87857    
3.22675711302   0.895958384867   3.07124062045   37044409.1922    
0.994554556469   4.58218864263   1.04566529448   6772279.98602    
1.46078416679   2.92568955456   2.12792811452   10902806.1716    
1.33755919567   2.19584933533   3.10067971186   9306697.34526    
-0.29118188521   0.764720018753   3.15313378477   3577935.00461    
-0.493485583743   0.722305528126   3.3764153092   4332283.43706    
3.21558746616   2.75362729201   0.804194827234   39763530.4268    
3.94234691469   0.549291320524   1.87055922112   55145346.267    
-1.64012986368   4.62933955465   1.76590883343   12367412.2045    
-1.45981346803   0.543377735234   3.82702203496   10719793.2724    
3.86551855166   3.86542075599   3.1372843718   51070450.7822    
0.125538167415   2.9937389776   0.26328554085   3316450.93498    
3.00677524051   3.06752762993   3.20798433004   35740866.0682    
3.93401797983   2.35382547558   1.65897141749   56046366.0334    
-1.8726835566   2.77473144169   4.42050464473   15320942.2792    
2.58959657345   1.31307736066   3.56421205938   26422923.2355    
-1.74925023986   0.670234261389   4.51422695534   13683781.4615    
3.65749351883   4.0340094361   3.53605479638   50346114.1642    
-0.299153086457   4.72061621775   2.90951167105   3563734.51044    
1.64673730503   2.51394020826   0.789488031108   12236021.5115    
0.022321496439   1.93129163513   3.49791604372   3302261.10812    
-1.09642629491   2.14261195612   1.19953290755   7620865.99551    
3.54579123907   1.66305922493   4.76605719192   47259179.4945    
0.308149872466   3.44640836788   1.30751527101   3691010.01184    
1.50647384941   4.72995842051   3.13547775386   10841645.0779    
-0.249823301098   0.662419619548   1.0175859271   3499728.49537    
-1.20387570237   0.296447057235   1.16470313937   8000089.93116    
0.924281290675   0.402709970247   2.62513223195   6696142.31177    
