# n_S	F[0,0]_run00	F[0,1]_run00	F[1,0]_run00	F[1,1]_run00	F[0,0]_run01	F[0,1]_run01	F[1,0]_run01	F[1,1]_run01	F[0,0]_run02	F[0,1]_run02	F[1,0]_run02	F[1,1]_run02	F[0,0]_run03	F[0,1]_run03	F[1,0]_run03	F[1,1]_run03	F[0,0]_run04	F[0,1]_run04	F[1,0]_run04	F[1,1]_run04	F[0,0]_run05	F[0,1]_run05	F[1,0]_run05	F[1,1]_run05	F[0,0]_run06	F[0,1]_run06	F[1,0]_run06	F[1,1]_run06	F[0,0]_run07	F[0,1]_run07	F[1,0]_run07	F[1,1]_run07	F[0,0]_run08	F[0,1]_run08	F[1,0]_run08	F[1,1]_run08	F[0,0]_run09	F[0,1]_run09	F[1,0]_run09	F[1,1]_run09	F[0,0]_run10	F[0,1]_run10	F[1,0]_run10	F[1,1]_run10	F[0,0]_run11	F[0,1]_run11	F[1,0]_run11	F[1,1]_run11	F[0,0]_run12	F[0,1]_run12	F[1,0]_run12	F[1,1]_run12	F[0,0]_run13	F[0,1]_run13	F[1,0]_run13	F[1,1]_run13	F[0,0]_run14	F[0,1]_run14	F[1,0]_run14	F[1,1]_run14	F[0,0]_run15	F[0,1]_run15	F[1,0]_run15	F[1,1]_run15	F[0,0]_run16	F[0,1]_run16	F[1,0]_run16	F[1,1]_run16	F[0,0]_run17	F[0,1]_run17	F[1,0]_run17	F[1,1]_run17	F[0,0]_run18	F[0,1]_run18	F[1,0]_run18	F[1,1]_run18	F[0,0]_run19	F[0,1]_run19	F[1,0]_run19	F[1,1]_run19	F[0,0]_run20	F[0,1]_run20	F[1,0]_run20	F[1,1]_run20	F[0,0]_run21	F[0,1]_run21	F[1,0]_run21	F[1,1]_run21	F[0,0]_run22	F[0,1]_run22	F[1,0]_run22	F[1,1]_run22	F[0,0]_run23	F[0,1]_run23	F[1,0]_run23	F[1,1]_run23	F[0,0]_run24	F[0,1]_run24	F[1,0]_run24	F[1,1]_run24	F[0,0]_run25	F[0,1]_run25	F[1,0]_run25	F[1,1]_run25	F[0,0]_run26	F[0,1]_run26	F[1,0]_run26	F[1,1]_run26	F[0,0]_run27	F[0,1]_run27	F[1,0]_run27	F[1,1]_run27	F[0,0]_run28	F[0,1]_run28	F[1,0]_run28	F[1,1]_run28	F[0,0]_run29	F[0,1]_run29	F[1,0]_run29	F[1,1]_run29	F[0,0]_run30	F[0,1]_run30	F[1,0]_run30	F[1,1]_run30	F[0,0]_run31	F[0,1]_run31	F[1,0]_run31	F[1,1]_run31	F[0,0]_run32	F[0,1]_run32	F[1,0]_run32	F[1,1]_run32	F[0,0]_run33	F[0,1]_run33	F[1,0]_run33	F[1,1]_run33	F[0,0]_run34	F[0,1]_run34	F[1,0]_run34	F[1,1]_run34	F[0,0]_run35	F[0,1]_run35	F[1,0]_run35	F[1,1]_run35	F[0,0]_run36	F[0,1]_run36	F[1,0]_run36	F[1,1]_run36	F[0,0]_run37	F[0,1]_run37	F[1,0]_run37	F[1,1]_run37	F[0,0]_run38	F[0,1]_run38	F[1,0]_run38	F[1,1]_run38	F[0,0]_run39	F[0,1]_run39	F[1,0]_run39	F[1,1]_run39	F[0,0]_run40	F[0,1]_run40	F[1,0]_run40	F[1,1]_run40	F[0,0]_run41	F[0,1]_run41	F[1,0]_run41	F[1,1]_run41	F[0,0]_run42	F[0,1]_run42	F[1,0]_run42	F[1,1]_run42	F[0,0]_run43	F[0,1]_run43	F[1,0]_run43	F[1,1]_run43	F[0,0]_run44	F[0,1]_run44	F[1,0]_run44	F[1,1]_run44	F[0,0]_run45	F[0,1]_run45	F[1,0]_run45	F[1,1]_run45	F[0,0]_run46	F[0,1]_run46	F[1,0]_run46	F[1,1]_run46	F[0,0]_run47	F[0,1]_run47	F[1,0]_run47	F[1,1]_run47	F[0,0]_run48	F[0,1]_run48	F[1,0]_run48	F[1,1]_run48	F[0,0]_run49	F[0,1]_run49	F[1,0]_run49	F[1,1]_run49
755	119524544.6612209	-1407076.7216706758	-1407076.7216700932	35289.27919692971	66196168.310735896	-1194821.8308731262	-1194821.8308729967	50711.55701395273	91149207.55534191	-720814.5233799295	-720814.5233798797	33819.72684900856	54633342.72114606	548818.8275657896	548818.8275657716	63575.97199046502	83598223.83618903	268334.16782996897	268334.1678299868	15911.019807184177	44741958.34507259	-435667.6800716803	-435667.68007169006	31002.97686305089	38278889.863037564	547610.612445979	547610.6124473311	249500.1345413907	91159689.82058066	2069408.970001456	2069408.9700016042	72768.27812482283	70379049.45871602	242625.17426100528	242625.1742615281	45995.15722837835	105116184.78927237	-815623.5932610367	-815623.5932609714	19721.71591905219	64748139.25177074	-980160.601570688	-980160.6015704625	46587.870678896164	75757556.40103957	-200640.12477215214	-200640.12477205382	17813.229771716175	188434796.63515812	-2442751.4659155034	-2442751.4659154606	48122.22115772177	667364541.8145502	-6350200.617271141	-6350200.617271069	70287.1945223879	44582182.26922675	171255.30976059416	171255.30976068223	37082.900486137274	109910828.11384308	-515786.68714371615	-515786.68714370683	36968.17441046012	52417752.44976292	391634.4351167311	391634.4351169048	25670.43821679021	457593028.98581797	-125987.57640004664	-125987.57639945054	11007.992445155203	51115275.43892009	282370.05047402333	282370.0504734999	149786.90874405773	76064041.22931185	1048155.4732345799	1048155.4732341856	51155.089786406366	47766374.23003785	-286230.37673217943	-286230.37673215923	9801.13101790891	56509694.41981361	-92329.70342875275	-92329.7034286595	25700.29168461662	144709928.08830988	-1072112.6543135345	-1072112.6543137883	24823.228069499877	26709541.368880127	50862.21178625554	50862.211786905114	57731.58705289127	76980729.45649152	610743.8844083534	610743.8844083208	15388.457420882896	71000440.24509247	9446.78212659611	9446.78212650848	62521.097511106505	44416138.86770617	115032.50786184217	115032.50786185433	11504.408314145046	341214905.16983706	936175.5883532115	936175.5883530532	14041.170786258772	24717200.48514252	133582.1209602888	133582.12096041578	25373.569866762922	33550332.729723	422975.59459408396	422975.5945940187	33518.18222137916	36735752.25288544	-41651.02825791216	-41651.02825794551	15148.057332222295	128141452.58727711	826829.0009263011	826829.000925838	91459.2141151197	19779719.108555883	178272.22453049477	178272.2245304745	16563.070264967442	127851662.80309488	-1190591.7211118522	-1190591.7211121721	29460.126258651995	21460185.513182554	34151.203360981075	34151.20336097913	26274.036026455185	143035589.82602775	232056.92558042007	232056.92558075543	19168.787359891718	51460975.82270046	-754266.8175926356	-754266.8175929525	37703.16298376645	101115146.26659378	765457.7281220078	765457.7281180333	185474.93377619865	209170335.90842772	-54176.25083535793	-54176.25083631446	27690.05451067177	57968692.75969534	-510680.0422351196	-510680.04223479365	56761.19361204277	59565310.03689689	-1138420.2157062166	-1138420.2157058294	74439.63139887476	34022593.030215025	-58941.05960583896	-58941.05960575974	8233.234518464998	126151241.34913754	1083563.3824621057	1083563.3824624084	22152.721120474132	95371211.62086818	698617.1970417928	698617.1970414555	21570.848848854308	86524923.41946632	311398.1320483671	311398.1320480461	23647.0109943632	62269076.24757458	1622779.1569573781	1622779.1569562952	93613.36066922608	385338134.7858442	-6241948.602027443	-6241948.602026196	129995.40680080188	99677905.93557343	-1358554.2690891363	-1358554.2690892287	35764.21186781522	46250410.811257705	294560.5056443017	294560.50564442493	24076.271253743333	82528774.54364012	-715582.5607192949	-715582.5607191643	20747.249753811826
974	2211070.9000697825	-2534.600247765779	-2534.6002477657676	654.249111916238	1803797.8953135908	-1570.322966376033	-1570.3229663760285	588.8250308090617	2643327.880990708	-5514.12607230861	-5514.12607230858	566.460085398457	2244484.0087174447	-4042.8362949845628	-4042.836294984573	642.1198389011325	2057228.131996969	-1974.282468847088	-1974.2824688470787	686.3373750678004	2363703.6844940074	-220.77914372317605	-220.7791437231524	663.7427518469001	1777608.7394097082	-1712.930887017845	-1712.930887017863	670.4223916135865	2283766.3663613955	-1789.991713624046	-1789.9917136240551	580.9412871155694	2153978.8470025146	-447.8936364647487	-447.8936364647459	655.7919337223329	2418466.299382609	-3373.164893929177	-3373.1648939291877	619.633442778197	2471097.3297383594	-2711.6477343770257	-2711.647734377042	615.2670547327531	2168084.382521715	-1176.1633570975478	-1176.1633570975657	636.2987460850585	2421500.4752375293	-3999.039209890784	-3999.03920989077	700.7313283596098	2143717.0821766313	-175.0785617240964	-175.0785617241545	714.0606862050959	1946279.0641942336	-2270.1692034560388	-2270.1692034560115	578.6081240651066	1957042.5172455686	-3537.2735473294283	-3537.2735473294547	746.4823323069063	1844503.6447169438	1530.9405780033726	1530.9405780033703	660.5962517824917	2211748.2577268453	2493.814894811072	2493.814894811098	624.2235557921981	2480299.6659237244	161.5079556626398	161.5079556626299	640.1528567331519	2303456.40012011	-495.0718796642165	-495.07187966422396	711.9618900010072	2433430.625252871	683.9960101979025	683.9960101978753	692.6016745119681	2286764.73903728	-598.4003693005864	-598.4003693005632	589.0122579359347	2214020.451023714	2393.4429330024764	2393.4429330024823	691.0049803058332	2024396.1518090237	-1673.1552546350308	-1673.1552546350238	615.5219696550673	2233026.3049853863	3153.2198017001465	3153.2198017001256	568.2121655252515	1949673.0278319109	-1764.2454250952183	-1764.2454250952237	614.1901836866997	2399968.5429937285	-1258.439787993531	-1258.439787993526	717.5174701973588	1985786.742574585	194.77237343125026	194.77237343125313	631.8606471069028	2048382.943003161	-3804.4114119227106	-3804.411411922716	612.6260301446341	1840001.833375309	-368.877692091589	-368.87769209160047	656.5030843643773	1929394.2631230885	-633.2873655586583	-633.2873655586909	671.7934431687044	2007045.053155453	-4067.913475594008	-4067.913475593977	644.8781792906868	2038255.1288453683	-2560.394617604666	-2560.394617604678	616.6056476146251	2057951.8695440593	-25.390748723217484	-25.390748723244997	647.893670827931	2047187.8146481365	-389.67815125784523	-389.6781512578554	712.3599398815014	1988108.1625191066	-501.39054711202107	-501.3905471120231	689.6859756693519	2125553.4758757213	674.201146443081	674.2011464430674	570.5567416389447	2258200.5999941477	-1403.9439082663257	-1403.9439082663368	698.2213332999562	1943386.8237372912	-834.3693193215746	-834.3693193215635	615.8041799540981	2305208.565270334	-783.5560590000736	-783.5560590000912	706.8197537287831	2306726.4742337195	684.8965605675519	684.8965605675592	659.4962745473001	2052052.650961464	-3015.1286007496165	-3015.1286007496033	586.75938022979	2266700.7941147033	-2237.4377955556747	-2237.4377955557	661.6013523895747	2102486.814100735	-4135.1958939676515	-4135.195893967649	766.2516758605395	1991167.660490561	310.89162986592083	310.89162986593385	518.8288340079044	1981692.454700705	-1522.9206688888198	-1522.9206688888084	663.8067962787744	1988671.863393989	-982.7246919470597	-982.7246919470666	640.082272670325	2146357.395736756	1163.1644249987012	1163.1644249986962	771.1848962318284	2150739.103616355	2078.122342722657	2078.1223427226414	619.1102042677647	1977268.6577992302	1776.4719029617136	1776.4719029617295	673.721413838152
1257	1327741.5124377836	-946.0966417361706	-946.0966417361761	373.27619800992454	1314190.6298124115	976.3120040159334	976.3120040159425	365.82840431686134	1373387.6400704337	-735.0597143802868	-735.0597143802818	361.35721254869	1241577.434735948	-588.2041582843427	-588.2041582843445	340.76568165831077	1310330.0246566168	-1017.2887850383044	-1017.288785038315	388.4262630078035	1240472.5326776933	-800.4557553278341	-800.4557553278346	345.28833199872815	1306763.5374119624	-219.76278340252236	-219.76278340252918	357.8204777228224	1291756.3660910497	474.42272969097496	474.4227296909644	328.19616817035154	1123317.7175709377	-2796.3329086747785	-2796.3329086747744	391.23271480372546	1139674.306489851	750.2579889645633	750.2579889645508	372.24528839634416	1214563.867531516	-1361.163284859244	-1361.1632848592385	396.04584176458593	1129729.7786599179	-726.8671302758574	-726.8671302758668	407.08325436015554	1145721.2754723576	-623.3831676735053	-623.3831676735089	406.43772019974386	1210166.2538646015	-624.7327583894847	-624.7327583894964	383.87632165455574	1241495.6935441191	-1926.445531446811	-1926.4455314468298	390.2551870011109	1287001.7866235645	-1707.8508313801335	-1707.8508313801424	383.9607766988778	1220893.5312476691	-144.181297293998	-144.18129729400397	378.28710218853314	1285690.511545883	-1837.573437323248	-1837.5734373232583	342.7771814794308	1259240.2322386368	-1999.207981013294	-1999.2079810132836	398.22634710987614	1278758.7251249927	739.1630246903406	739.1630246903349	365.96673678869706	1164620.7835133467	1360.9397137429658	1360.9397137429758	356.9438880900073	1175356.757437413	-977.3550696483132	-977.3550696483294	378.9076809774217	1210142.7245616529	43.7894506971372	43.78945069712972	338.3086263955748	1311050.4975212293	-2268.142471854158	-2268.142471854145	390.6349588934003	1186145.4593879413	-326.5817768051849	-326.5817768051812	364.4355573719482	1251088.5763221253	378.3566347711311	378.3566347711283	366.49384090908717	1322863.727241734	140.70430900811414	140.70430900810402	357.23026804242767	1152276.2429576442	900.1021645449598	900.1021645449542	354.53842510481576	1231806.6046548071	-1313.2925574413057	-1313.2925574412948	371.51978139814065	1198246.380491379	-354.6312483762987	-354.63124837631324	399.4939118879492	1327417.653950846	-924.2871186360597	-924.2871186360452	383.32313322472476	1276254.1743102511	-707.0110184496311	-707.0110184496234	379.71298000920353	1163448.6699663554	-1790.5626065487465	-1790.5626065487354	340.92772273837113	1199079.1630747197	664.3009396445832	664.3009396445714	344.2082797176347	1213129.8390719697	-1008.2981839715866	-1008.2981839716011	360.69681766118606	1251120.3638624817	-1795.5245237617155	-1795.5245237617219	385.29101055897985	1346780.7047694959	-1736.281793705464	-1736.281793705452	410.98354195583653	1450600.0501987417	-437.4695775291148	-437.4695775291109	370.53075061888575	1191175.8327411532	-929.110731725337	-929.1107317253392	348.24679872182907	1317265.9370055061	291.61119463395187	291.61119463394965	338.9768794348729	1200899.5692130541	294.1644031928457	294.16440319284965	405.6775500984619	1244274.7429647858	-149.61686927525375	-149.61686927525523	409.38812749629574	1280028.202523725	199.66006669968687	199.66006669968584	403.54976177704015	1321303.792729577	358.6587880275628	358.65878802756646	365.52525386012206	1197923.319426817	-646.3559561082211	-646.3559561082204	372.8232749691493	1322445.4868795138	497.46464295544996	497.4646429554644	401.3764529484834	1249736.6246916729	-672.0864474495182	-672.0864474495258	349.6901769958533	1292645.602826962	-842.1659071898595	-842.1659071898744	383.0198686164224	1238615.9323165352	-2640.04786924744	-2640.0478692474267	382.90753020851866	1198675.2842038323	-866.4654619061737	-866.4654619061852	386.98062338828066
1622	885416.6459151232	-297.644241608027	-297.6442416080363	265.83383295881487	906349.6460749693	-419.6883679562013	-419.6883679561932	274.0719900165719	972127.1778659824	614.6685733446179	614.6685733446077	262.11051877565643	848436.8067763651	594.9357306038446	594.9357306038322	285.59275079736045	925140.3836886452	181.60958999835756	181.60958999835702	259.07740985704726	903312.8193470495	185.5237463556782	185.52374635569316	267.3932798982205	822261.6526399106	16.440216563892648	16.440216563891227	295.37867700109365	938731.477010146	-722.092627173806	-722.0926271738088	280.2558463887158	906118.8652538408	-1515.3917422887978	-1515.3917422887992	293.4147611242805	863303.8996196843	428.56199033327977	428.56199033328375	257.8029295227571	915581.7192158173	555.1967412484619	555.1967412484538	279.7051517796521	899110.2809584787	-796.8815463613571	-796.8815463613471	276.82203653708655	898256.8548690925	214.68860881731354	214.68860881731604	265.8045002692932	1032888.1641117289	-343.0360191113208	-343.0360191113232	284.8269352207058	948310.1600546566	39.718561574261116	39.71856157426538	260.0031448162501	1061525.3013538541	-716.2105582144427	-716.2105582144414	282.6421191199092	901883.9902158966	-56.78888253276472	-56.788882532755906	277.3936672733687	970080.1710844528	-543.8711899866763	-543.8711899866789	253.7709392929735	877442.7743117231	-549.8499146922208	-549.849914692232	271.696389845524	916396.627067716	-306.64182027978393	-306.64182027979246	281.60735312046285	980091.287209345	70.4378943713655	70.437894371359	265.1364215747589	907113.3556801085	-25.726562316074023	-25.72656231607806	278.22532182474106	950270.717003117	-564.7394736316061	-564.7394736316019	277.5308764510893	833825.1328542356	-197.37990614010624	-197.3799061401013	306.50830008928295	915824.7422970637	-404.693303275405	-404.69330327539865	291.6759307923359	912222.2630191931	-353.90500744720873	-353.9050074472136	271.5516974360276	905823.1951148293	59.0377580603074	59.037758060312456	278.5478167514972	914337.0884128131	-497.7495318582523	-497.74953185825166	294.30457005109946	900582.7094509454	-380.9749901919908	-380.9749901920021	289.6381869272148	883990.5561346896	998.7821629228179	998.7821629228197	268.692597049758	944014.022271713	-417.9244695702931	-417.9244695702995	270.77988025445717	879488.6826546736	-908.8832230916694	-908.8832230916763	270.5617449614107	898127.3280105207	-619.7951955065814	-619.795195506568	283.41616730041244	909353.9744328023	-570.091338123747	-570.091338123749	288.0298136113543	966793.268551819	664.974252268212	664.9742522682013	271.59158598626925	869375.3245951089	-316.8383236719269	-316.8383236719218	284.01935685402253	935869.4095892875	-247.03791022401913	-247.0379102240243	276.7196110853463	911922.1197973652	-619.658255101034	-619.6582551010353	268.90578813317273	945946.6356028848	881.2728602129573	881.2728602129664	292.3428457206337	902224.734178978	-446.4640975785806	-446.4640975785793	278.1140066766312	952765.6870690477	-585.6320541106986	-585.6320541106937	259.6060214408477	980792.0536659587	172.46793013490503	172.46793013490532	269.25094382870293	915362.5463823618	26.255432795866056	26.25543279586563	277.85706733790323	922742.5872640442	360.68709266314613	360.68709266315534	265.38434798853046	850914.5166182988	-865.6223088359197	-865.6223088359303	300.14095953717623	855426.3047894264	-564.5888004942829	-564.5888004942844	287.624855712831	956516.4668471101	300.5346659212713	300.53466592127813	262.6947764474767	921855.9010750519	6.952072517833869	6.952072517839554	313.1235811952859	1001514.1185096251	-1216.302532281525	-1216.302532281519	296.5667904428042	978229.4111169041	488.68290316511997	488.6829031651286	285.84446574444837
2094	817542.234847588	-221.12823155620913	-221.1282315562084	234.44873505728907	760203.4016467169	-412.6859291193118	-412.68592911931046	236.471716235929	738544.8581257459	-506.09019696381233	-506.0901969638156	228.35954222050637	725239.0088727922	-406.32849473246665	-406.32849473246387	238.2664590046668	761037.6358140886	162.37671526146843	162.37671526146568	229.96278699047738	809667.8262000346	-378.5341145912737	-378.5341145912756	229.46538523927407	749633.2008230209	-172.82453459026019	-172.82453459026192	228.01935874659398	802845.2976567732	-54.69638728159774	-54.69638728160774	212.32688222231837	797506.1552587489	-483.7783684499872	-483.77836844998876	216.42660305788522	796355.6912826976	-56.72768663448255	-56.72768663447994	237.5764245595526	829881.9869961384	244.55314320118077	244.55314320117702	237.77719690425351	742416.475868545	-664.3310660258887	-664.3310660258892	228.50232438919818	726841.3451070752	-498.03056719890424	-498.03056719891663	249.23447082304406	778718.7840361671	-241.8590006476145	-241.85900064761327	234.41006647650843	738187.541316953	-464.45614113270733	-464.45614113271034	247.18027003746735	744674.8481688047	120.11737081451619	120.11737081452429	230.42380473308026	741335.2652340994	-205.56821585769578	-205.56821585770473	241.98589691289774	805231.0691560161	460.56525641555834	460.5652564155694	242.08436509250677	810758.783534129	70.13885476249737	70.13885476249408	246.59407400973197	756509.178964123	-94.45998216416547	-94.45998216416433	226.0222625821434	767649.1157384176	170.4457849714815	170.44578497148788	238.5153664526636	807913.6245485032	72.45085713408892	72.45085713409071	219.43677897481547	809647.9043078094	-856.595740313488	-856.5957403134987	230.54039805177243	773594.7542886895	232.73540684499076	232.7354068449985	247.04137703092726	761115.2983937257	115.39527912439132	115.39527912438882	237.06549814006996	766957.2653168604	24.647544481557475	24.647544481544827	227.88639689774664	798207.7058376338	-227.05260207910402	-227.05260207910666	242.78133887777648	809862.0520011843	-295.57766027638394	-295.5776602763931	224.8086861715963	732251.5351705422	-344.72873429653987	-344.7287342965427	221.68441074972844	797554.9139892965	-803.1598218343755	-803.1598218343722	251.15288371411617	790531.1125687623	-167.79132817257113	-167.79132817256536	249.6341361776641	753901.799754244	-852.112449607333	-852.1124496073369	247.05864393875336	723177.6437933509	-677.8245013119824	-677.8245013119739	252.40933755243182	748690.6847796114	137.0381318510398	137.03813185104315	246.72347980716222	749978.8195578548	144.28465866164038	144.2846586616472	226.86551759282565	734527.4214269322	-6.975038979472174	-6.975038979467797	236.1522856838923	780065.6736585975	-129.6795676210247	-129.67956762101568	234.31540454263686	759939.2317936283	-113.64194297266198	-113.64194297266323	237.90896947458452	817232.5842122703	-1179.675465742944	-1179.675465742945	233.4991946604106	740429.6415885388	-128.7816879434858	-128.78168794347812	233.20349821136412	749404.3125903566	-634.7829169717669	-634.7829169717659	222.84285515222325	747003.0759239196	-503.39200042774627	-503.3920004277562	224.77798749809585	742051.58207354	-576.8355808242172	-576.8355808242072	232.19276126634287	783247.4624529192	-927.3883637500476	-927.388363750055	238.8292884104668	772232.2600666991	-220.29663318079955	-220.2966331807951	228.56144025692612	790344.1887452244	210.10057544185474	210.1005754418522	237.19544280591353	721998.010435694	-562.2846785248396	-562.2846785248403	222.17401628017342	734982.7296518846	-169.44083689116812	-169.44083689116707	233.9672664178946	734794.5023211478	-977.886717607353	-977.886717607355	245.2308111326857	784270.1450434584	252.31892827983978	252.31892827983938	237.61332575385825
2703	656822.2297344111	-729.5138651531125	-729.5138651531049	208.28438807883091	681138.8938622709	-19.144379528202194	-19.144379528201483	207.71486318065251	705696.8417266352	-743.5421284078932	-743.5421284078968	222.84421178066594	681152.8798710528	-92.01619639163363	-92.01619639163343	208.54979654467164	672216.7667319408	-233.54343115815456	-233.54343115815956	197.5750699323305	672611.6455246218	-148.16845766200788	-148.16845766200885	207.49292969564848	655002.645254966	173.8487267820438	173.84872678204266	212.73435292544633	669965.0343653876	-461.73030483075377	-461.73030483075684	201.4917226491539	673191.9955384802	-596.1593142478598	-596.1593142478577	206.39766553033468	663198.2154492381	-375.23062657562025	-375.23062657562764	203.54168189849494	679299.6074890225	-201.0413756549421	-201.04137565494148	215.71990372579774	711250.798055228	19.191367573027577	19.19136757302806	208.43449744681735	675914.6179077164	-82.31677110021747	-82.31677110021764	202.97602757838675	636817.08645465	-520.5866895886772	-520.5866895886791	206.3665647669976	688994.3456169338	-384.2466861537731	-384.2466861537773	208.80196228020353	653885.2382464428	-404.88868946209413	-404.8886894620947	211.3534839320181	669856.724722791	-54.00733721382872	-54.00733721383557	207.83588537887454	699476.2011300264	-512.9441339894939	-512.9441339894897	210.51204730989025	648417.3154517487	420.7095613352808	420.7095613352784	216.23353183939693	655399.1503768894	-415.96060558057707	-415.9606055805808	204.0597611391219	686798.9535823922	-447.8970051451812	-447.89700514517585	203.2723183205174	702036.3699012413	-449.11075537718716	-449.11075537718636	202.3392816326421	681876.358288089	56.690297411177056	56.69029741117572	206.41423959241882	698109.7078589426	-291.46513227243395	-291.46513227242986	195.63085625140724	679523.9960139765	-46.93479588325681	-46.93479588325121	199.99239229561454	663686.0321968998	221.13833893539498	221.13833893539777	208.624494375387	657471.7013150853	-419.11755900173017	-419.1175590017232	201.84151931218702	673160.8349142895	-307.6183443000597	-307.6183443000685	213.19498692904588	694327.78477681	-450.44818125271115	-450.44818125271377	209.8662574493131	663165.8541564166	-474.7907298687437	-474.790729868741	198.92178902130127	692156.938629507	-400.27824837092896	-400.2782483709291	199.46895219922777	673196.2912805441	316.65043769719193	316.6504376971828	211.22731231352688	686506.9210153221	-60.91612568692639	-60.9161256869271	206.42957497682767	695394.1707570577	-10.399032330463172	-10.399032330463001	207.78307956137746	695333.4858371576	-111.99430017824824	-111.9943001782396	207.18893526263426	644923.88187187	-298.557662134934	-298.55766213492586	200.87499429061754	646094.596926866	-686.2551599126261	-686.2551599126309	201.26983072296485	702012.8116304897	36.76156999021856	36.761569990224984	207.41513913296404	678741.8381539366	-94.42020127902973	-94.42020127902978	210.7721010285794	702460.8669140612	-235.0765201808953	-235.076520180887	200.6277353457505	715446.2406127733	-211.63481668790305	-211.6348166879057	209.52318829595282	723636.4788253575	-49.05999622186482	-49.059996221865646	208.6626877907722	644601.5286647228	-326.6578055497311	-326.657805549725	210.42403998506518	661740.9326402292	-339.3768111531426	-339.37681115314865	208.8992810160263	674780.2464391815	25.252375602342795	25.252375602349247	212.47351820072512	681379.5478786858	61.08693991718661	61.08693991718468	209.75203368266486	675690.3861404604	200.35228694764749	200.35228694764854	211.20585413050557	701192.9928738191	202.15272038887352	202.15272038887835	215.1400367693232	665615.4003649224	-312.7557461098319	-312.75574610983733	205.36582703133104	660350.0597667284	-63.72932365523013	-63.72932365523502	220.47586906043213
3488	635693.0247973802	-262.0409441286316	-262.0409441286323	192.70251173321606	622529.9027799396	-235.3912729969073	-235.39127299690287	193.26545890695647	615854.4397519167	-283.95161194893905	-283.9516119489373	197.98855620715875	629243.7296518874	-192.19770418247202	-192.19770418247035	190.09630964196137	654088.1789667925	-342.8838753890509	-342.8838753890536	196.39059694878526	624462.2842331743	-27.709858832930422	-27.70985883291837	191.1495135559668	618746.9815419642	-229.90652997107344	-229.90652997106946	192.97652791210635	632859.5400556353	-375.0216375339311	-375.02163753392733	184.10772339434487	605053.19049407	-323.4763924629792	-323.47639246297865	189.96246303325856	614270.6473283935	8.675106684007687	8.675106684005357	199.06147004412693	627672.4482604772	154.44419728177337	154.4441972817696	189.89953175056792	625188.3978104802	-169.4414225062106	-169.44142250620965	188.3751233762056	604768.6361650771	-366.45314399981	-366.4531439998107	195.0390155763935	626952.5055037311	204.51529866894214	204.51529866894307	183.53370346150516	624664.5417231115	220.20025728680167	220.20025728680034	189.04353539757602	658070.8617116811	-298.9459946022913	-298.94599460229426	193.48138598064776	644358.5140489051	-457.94846976775864	-457.9484697677537	187.32351824924575	639043.457534189	-231.96329222446678	-231.96329222447324	197.10966776920486	652113.7694323214	-382.0190273134026	-382.0190273134007	194.0689455499261	619365.6773446453	-403.6040669693263	-403.60406696932307	186.85977094711953	627360.7705228338	-315.3629288195216	-315.362928819528	189.95232355830342	622293.3849708147	-167.86471758119305	-167.8647175811913	192.56249907829596	623359.5033922861	-166.45948872926348	-166.45948872925987	183.554721778181	626014.9998888517	154.387137278465	154.3871372784711	194.34246006879576	607495.9307342572	253.09209228669758	253.0920922867013	194.99470798131912	645215.7801425788	7.076269444552139	7.076269444554214	194.38402618253627	620632.0372092484	-37.68515341887459	-37.68515341888113	182.27761646370345	638199.2815419927	27.42758008138017	27.427580081384406	182.1849492658079	629213.4638965349	-125.91537028626323	-125.91537028626885	187.03075565707087	627202.7608719988	-329.83350159063764	-329.83350159063843	189.74600308382986	640982.8773701091	-306.7023045027987	-306.7023045027941	187.95302923008597	607807.4718798418	-555.4979704507546	-555.4979704507632	194.43195829123653	658344.1478531434	-426.95425284038333	-426.95425284038106	182.03136895133147	607339.1433056127	-246.52326175067975	-246.52326175067844	183.9621367049781	620025.1655907924	-300.2216579086165	-300.22165790862033	190.21908388566456	627778.4528642943	-76.20502023904731	-76.205020239043	187.84338674068107	617921.5252430623	-550.1762335436545	-550.1762335436533	193.23485863925018	621258.0273495509	-239.44344150698583	-239.44344150699422	191.3126219337338	611246.267468753	-111.38670094080447	-111.38670094081277	196.3486178170743	615100.5256456536	-150.55557070182886	-150.55557070183053	190.8626582112923	625775.3438731368	-273.34716608110045	-273.347166081101	185.8761889436909	607539.3552790747	39.773366071946896	39.773366071945475	184.20251935686983	604706.0603000087	-196.50170169578786	-196.50170169578604	191.719889937558	612285.164535311	-113.7569293851613	-113.75692938516394	190.32004105859446	611983.706392606	123.22424141164868	123.22424141164791	195.75794097710397	632327.615082832	51.342078627105536	51.342078627098886	195.9054732521352	615291.9958897298	-408.534306432622	-408.5343064326264	200.3047065897624	647332.2913706512	-356.9317932160957	-356.93179321608795	199.08478668966535	635840.5606202822	362.7174900714632	362.7174900714542	190.96898821424998	606153.6711495545	-690.5852584186188	-690.5852584186164	189.73976414185674
