# n_S	sigma(sigma^2(a))	sigma(sigma^2(b))	TJK13(a)	TJ14(a)	TJK13(b)	TJ14(b)
755	9.07438210837188e-09	2.6831985244500972e-05	1.1253688825250095e-08	7.957559681697613e-09	3.7512296084166986e-05	2.6525198938992047e-05
974	5.590839885264095e-08	0.00015853032541354172	4.35084675873631e-08	0.0	0.00014502822529121036	0.0
1257	6.736955323221029e-08	0.00022252300085743616	5.070639551995429e-08	0.0	0.00016902131839984766	0.0
1622	6.96751136239216e-08	0.0002512327254230704	5.1525399610298314e-08	0.0	0.00017175133203432776	0.0
2094	7.027570739373473e-08	0.00028230273844283055	4.954226771438869e-08	0.0	0.00016514089238129568	0.0
2703	8.581746620557102e-08	0.0002943484072911207	4.626057202545794e-08	0.0	0.0001542019067515265	0.0
3488	7.186750278346922e-08	0.00032793654843724015	4.244337239520997e-08	0.0	0.00014147790798403327	0.0
4502	8.602456241511294e-08	0.00030980526724717623	3.849173233989037e-08	0.0	0.00012830577446630126	0.0
5811	7.644797832460368e-08	0.0002760870957104541	3.463275684174202e-08	0.0	0.00011544252280580674	0.0
7500	7.953323397235785e-08	0.00034195338694178513	3.0987999863840915e-08	0.0	0.00010329333287946973	0.0
