# n_S	mean[a]_run00	std[a]_run00	mean[a]_run01	std[a]_run01	mean[a]_run02	std[a]_run02	mean[a]_run03	std[a]_run03	mean[b]_run00	std[b]_run00	mean[b]_run01	std[b]_run01	mean[b]_run02	std[b]_run02	mean[b]_run03	std[b]_run03
4	1.00110554654	0.00290785500748	1.00024422119	0.00600691173322	1.00003754748	0.00687889867681	0.999106661832	0.00612134896833	0.0111699822075	0.138668240971	-0.00710737661503	0.311929339993	0.0882211778077	0.30608844349	0.0233355292892	0.206238956111
5	0.999977931664	0.00566025297482	1.0011470363	0.00632072822368	1.00062879777	0.00778833517716	0.998018582263	0.00589077588051	-0.0145009632593	0.207761312697	0.0306333439851	0.22472812056	-0.0551459663875	0.222354011108	-0.0139847108344	0.194069265308
6	0.997395680059	0.00532328640611	0.999417658247	0.00617664682107	0.999585317966	0.00534076592807	1.00025133781	0.00598667890277	-0.0123623046097	0.217704142614	-0.016624632071	0.171141876512	-0.0439239605712	0.226271886997	-0.0310570420153	0.192985292331
9	1.00059305093	0.00567799845408	0.997248718875	0.0053527147492	1.00116488778	0.00581385977411	1.00018593223	0.00494755608696	0.0240671057955	0.199675489683	0.0242921677077	0.216049637289	-0.0123185867408	0.181565036948	0.0131238926596	0.201717976504
11	1.00307554653	0.00461696302372	1.00119271533	0.00470327437374	1.00211986552	0.00442108764078	0.99835259662	0.00639043432939	-0.00981814395804	0.156858714617	0.0399706382212	0.188284803397	-0.00522067989645	0.160867211804	-0.003110497295	0.197520766695
15	0.999466633119	0.0053709906522	1.00058923766	0.00673931048112	1.00253571514	0.00733907147188	0.997406217498	0.00580884848682	-0.0042071490961	0.198312854102	-0.0228479026589	0.256918222245	-0.0033280858098	0.236709523922	-0.0318449498896	0.153984712135
20	0.999549301489	0.00546014345591	1.00332941919	0.00609067901066	0.998239701122	0.0054577372775	0.998645654319	0.00533733766519	-0.0136725969313	0.169819367898	0.0194296406075	0.175152228638	-0.00148887246786	0.178884082365	-0.0139214713483	0.219477972448
26	0.997503270455	0.00507896294757	0.999639742937	0.00483549035161	0.999408210317	0.00563378374639	1.00118253732	0.00455508725043	-0.0299754773515	0.191622580125	-0.0551166307586	0.226104812579	0.022415982972	0.207747760268	0.0271211415259	0.13683862302
35	0.998916364428	0.00544103685348	1.00272038053	0.00444383409153	1.00016390223	0.00567551678761	0.999579658618	0.00681051892369	0.0258999191835	0.196372613843	-0.00235250040295	0.166449597979	0.0203677578008	0.205845617164	-0.0257219567712	0.172857542118
46	1.00013519703	0.00516291565114	0.998825902847	0.00559794540425	0.999900819709	0.00578908260753	0.999202643629	0.00581397044282	-0.0216821293455	0.152300344115	0.0367267170041	0.19440891915	0.0136328277911	0.178437211752	-0.0317490601622	0.211014907264
