# n_S	mean[a]_run00	std[a]_run00	mean[a]_run01	std[a]_run01	mean[a]_run02	std[a]_run02	mean[a]_run03	std[a]_run03	mean[a]_run04	std[a]_run04	mean[a]_run05	std[a]_run05	mean[a]_run06	std[a]_run06	mean[a]_run07	std[a]_run07	mean[a]_run08	std[a]_run08	mean[a]_run09	std[a]_run09	mean[a]_run10	std[a]_run10	mean[a]_run11	std[a]_run11	mean[a]_run12	std[a]_run12	mean[a]_run13	std[a]_run13	mean[a]_run14	std[a]_run14	mean[a]_run15	std[a]_run15	mean[a]_run16	std[a]_run16	mean[a]_run17	std[a]_run17	mean[a]_run18	std[a]_run18	mean[a]_run19	std[a]_run19	mean[a]_run20	std[a]_run20	mean[a]_run21	std[a]_run21	mean[a]_run22	std[a]_run22	mean[a]_run23	std[a]_run23	mean[a]_run24	std[a]_run24	mean[a]_run25	std[a]_run25	mean[a]_run26	std[a]_run26	mean[a]_run27	std[a]_run27	mean[a]_run28	std[a]_run28	mean[a]_run29	std[a]_run29	mean[a]_run30	std[a]_run30	mean[a]_run31	std[a]_run31	mean[a]_run32	std[a]_run32	mean[a]_run33	std[a]_run33	mean[a]_run34	std[a]_run34	mean[a]_run35	std[a]_run35	mean[a]_run36	std[a]_run36	mean[a]_run37	std[a]_run37	mean[a]_run38	std[a]_run38	mean[a]_run39	std[a]_run39	mean[a]_run40	std[a]_run40	mean[a]_run41	std[a]_run41	mean[a]_run42	std[a]_run42	mean[a]_run43	std[a]_run43	mean[a]_run44	std[a]_run44	mean[a]_run45	std[a]_run45	mean[a]_run46	std[a]_run46	mean[a]_run47	std[a]_run47	mean[a]_run48	std[a]_run48	mean[a]_run49	std[a]_run49	mean[b]_run00	std[b]_run00	mean[b]_run01	std[b]_run01	mean[b]_run02	std[b]_run02	mean[b]_run03	std[b]_run03	mean[b]_run04	std[b]_run04	mean[b]_run05	std[b]_run05	mean[b]_run06	std[b]_run06	mean[b]_run07	std[b]_run07	mean[b]_run08	std[b]_run08	mean[b]_run09	std[b]_run09	mean[b]_run10	std[b]_run10	mean[b]_run11	std[b]_run11	mean[b]_run12	std[b]_run12	mean[b]_run13	std[b]_run13	mean[b]_run14	std[b]_run14	mean[b]_run15	std[b]_run15	mean[b]_run16	std[b]_run16	mean[b]_run17	std[b]_run17	mean[b]_run18	std[b]_run18	mean[b]_run19	std[b]_run19	mean[b]_run20	std[b]_run20	mean[b]_run21	std[b]_run21	mean[b]_run22	std[b]_run22	mean[b]_run23	std[b]_run23	mean[b]_run24	std[b]_run24	mean[b]_run25	std[b]_run25	mean[b]_run26	std[b]_run26	mean[b]_run27	std[b]_run27	mean[b]_run28	std[b]_run28	mean[b]_run29	std[b]_run29	mean[b]_run30	std[b]_run30	mean[b]_run31	std[b]_run31	mean[b]_run32	std[b]_run32	mean[b]_run33	std[b]_run33	mean[b]_run34	std[b]_run34	mean[b]_run35	std[b]_run35	mean[b]_run36	std[b]_run36	mean[b]_run37	std[b]_run37	mean[b]_run38	std[b]_run38	mean[b]_run39	std[b]_run39	mean[b]_run40	std[b]_run40	mean[b]_run41	std[b]_run41	mean[b]_run42	std[b]_run42	mean[b]_run43	std[b]_run43	mean[b]_run44	std[b]_run44	mean[b]_run45	std[b]_run45	mean[b]_run46	std[b]_run46	mean[b]_run47	std[b]_run47	mean[b]_run48	std[b]_run48	mean[b]_run49	std[b]_run49
755	0.0	0.00224831759584227	0.0	0.0034291833840425917	0.0	0.001826129110033579	0.0	0.0015124133296268725	0.0	0.0017773125743401155	0.0	0.0012468694392620513	0.0	0.0017334851131632553	0.0	0.0014504968721977718	0.0	0.0015615220530185376	0.0	0.0016543870538778102	0.0	0.001665845318236877	0.0	0.0026492829216589226	0.0	0.0008222059784058234	0.0	0.002236628810477786	0.0	0.002394147047126846	0.0	0.0013329816111011105	0.0	0.0022284684950195986	0.0	0.0011127605839611643	0.0	0.0010157465232234026	0.0	0.0016575730223925586	0.0	0.001453878598264449	0.0	0.0033348334812480524	0.0	0.00203140011286316	0.0	0.0013977483884031598	0.0	0.003069856208389187	0.0	0.0014466011608482792	0.0	0.0024978975023594173	0.0	0.0014155645311709165	0.0	0.0015289751175215456	0.0	0.0014630350547223468	0.0	0.0020788393802332232	0.0	0.001260465101267778	0.0	0.0015453637353318656	0.0	0.001517255736789683	0.0	0.002401195319476182	0.0	0.0016139121372431228	0.0	0.0015925794439681363	0.0	0.0025186855903748186	0.0	0.0013364536440280943	0.0	0.002100696599022366	0.0	0.0019936077927776674	0.0	0.0019609625822925767	0.0	0.002330029828541078	0.0	0.0012979638354886406	0.0	0.001637226664577078	0.0	0.0016086976657660502	0.0	0.0011369131877922408	0.0	0.003090099300048698	0.0	0.0012817798332000502	0.0	0.0013646928973686542	0.0	0.12426005109416424	0.0	0.08532977159523635	0.0	0.09283491677261789	0.0	0.10618899843505468	0.0	0.1252878760356862	0.0	0.13129244534278542	0.0	0.13008769362248546	0.0	0.1044183842855077	0.0	0.1449905978603863	0.0	0.15723077713001812	0.0	0.11701553057701765	0.0	0.09559372302002618	0.0	0.12377772003780686	0.0	0.048642991451856694	0.0	0.10950535708714557	0.0	0.16090604616075246	0.0	0.09380219277653865	0.0	0.16943155147778463	0.0	0.09933220350604621	0.0	0.11427272643582309	0.0	0.10454101186061529	0.0	0.11009048481809929	0.0	0.11100617830895962	0.0	0.07526517671537562	0.0	0.07705800376826655	0.0	0.11095490392043919	0.0	0.0777183448137588	0.0	0.07477967717186829	0.0	0.1322084333877245	0.0	0.051142422268186175	0.0	0.11543704135888007	0.0	0.10822747582764107	0.0	0.05802901442591649	0.0	0.09478175069319934	0.0	0.11753726317714916	0.0	0.10232158759044672	0.0	0.09266393801743177	0.0	0.14633080456318845	0.0	0.17870391235291053	0.0	0.06812446027451703	0.0	0.05471376595143679	0.0	0.09413673536984339	0.0	0.14603980811051084	0.0	0.10342855814254041	0.0	0.14562655331748653	0.0	0.13222060716975373	0.0	0.06627495014772739	0.0	0.10220632789847955	0.0	0.08892849797964318	0.0	0.11348388550381559
974	0.0	0.0015261057359536475	0.0	0.0014391840394760223	0.0	0.0014328559627923493	0.0	0.0014712868884341596	0.0	0.0012511096376491963	0.0	0.0014592592726927504	0.0	0.0013111480149090315	0.0	0.001392356288782151	0.0	0.0014914842699759983	0.0	0.0014894520128562283	0.0	0.001386257585033048	0.0	0.0014042838328719833	0.0	0.0013685066510107674	0.0	0.0016300744239500543	0.0	0.001293205725652459	0.0	0.0014469022943529063	0.0	0.0013201239508917068	0.0	0.001486080767963317	0.0	0.00157519219098346	0.0	0.0013651745772696594	0.0	0.001335931628456249	0.0	0.00139697750114619	0.0	0.001419042987291676	0.0	0.0012994460415026228	0.0	0.001346725892999095	0.0	0.0013974362499694591	0.0	0.0012923660221133885	0.0	0.0013453516602636155	0.0	0.0014433493833929864	0.0	0.0014447713124117185	0.0	0.0015123192232589775	0.0	0.0013443401146307657	0.0	0.001445502942261287	0.0	0.0013961319286044391	0.0	0.001419978516899499	0.0	0.001350621785088171	0.0	0.0013740501299831355	0.0	0.0014063898758440705	0.0	0.0014836431424744227	0.0	0.0014572357838066239	0.0	0.0013712570993241614	0.0	0.0012960365377997838	0.0	0.001346306059657726	0.0	0.0012957918013993025	0.0	0.0013496630101473013	0.0	0.0014530578827582463	0.0	0.001537586579760945	0.0	0.001325151235532202	0.0	0.0012973111800251703	0.0	0.0013371942480822133	0.0	0.07970218290784936	0.0	0.08445927903160419	0.0	0.08116622369351258	0.0	0.08271992200231043	0.0	0.07612645002223792	0.0	0.08140295317667001	0.0	0.0810470686997378	0.0	0.07840574060485801	0.0	0.08373243476608869	0.0	0.08454716502640697	0.0	0.08194444239325377	0.0	0.08734476445415716	0.0	0.08374482414435054	0.0	0.0842304793204074	0.0	0.08434113952705898	0.0	0.08646171247269148	0.0	0.08376352563760653	0.0	0.08021763488479185	0.0	0.07511771113049345	0.0	0.07658504429393359	0.0	0.08372619642098529	0.0	0.08097179123282461	0.0	0.076063882815753	0.0	0.08318568645290247	0.0	0.08098336464249542	0.0	0.08719866297009152	0.0	0.08318029982832809	0.0	0.07880415816620549	0.0	0.08708944979811724	0.0	0.08320171239360563	0.0	0.08041338585857208	0.0	0.08770075530054196	0.0	0.08686679768244636	0.0	0.08167013287093373	0.0	0.08275548431600853	0.0	0.08193329035494887	0.0	0.08067516601482996	0.0	0.09094464254585484	0.0	0.07696354579445559	0.0	0.08900131388720897	0.0	0.08497559221685953	0.0	0.07988367522143817	0.0	0.08275266646082613	0.0	0.07705818959577009	0.0	0.08168761070856645	0.0	0.08053655475617304	0.0	0.08701193054509915	0.0	0.08533857445069287	0.0	0.0813166482529815	0.0	0.08243761428510694
1257	0.0	0.0014693540033152246	0.0	0.0014162598789027301	0.0	0.0013496889392339447	0.0	0.0014751236420717717	0.0	0.001468540906108053	0.0	0.0013947005110783036	0.0	0.0014423106318329772	0.0	0.0013926779283530155	0.0	0.0014287077960577676	0.0	0.0013787078808817632	0.0	0.0014395288765261564	0.0	0.0014200849259425243	0.0	0.001386307194247558	0.0	0.0014812310558206432	0.0	0.0013447230588650425	0.0	0.001465791436334393	0.0	0.0014302761783517566	0.0	0.0014926261694637637	0.0	0.0013968644699732594	0.0	0.0014357384543924293	0.0	0.0015156634502380495	0.0	0.0013494285170248636	0.0	0.001398267780923192	0.0	0.0013817888993886381	0.0	0.0014539548822272842	0.0	0.0013789409750564242	0.0	0.0013327100114044143	0.0	0.0014226616204845296	0.0	0.0013960020222364743	0.0	0.001385832889676212	0.0	0.0014395684369190064	0.0	0.001378678607037903	0.0	0.0014171905477803489	0.0	0.0013963871964317212	0.0	0.001370123108831995	0.0	0.0013048527331069426	0.0	0.001454532654146677	0.0	0.001447148672701055	0.0	0.0015245585601430358	0.0	0.0013744463697484524	0.0	0.0014639878907302117	0.0	0.0014058482838205542	0.0	0.0014859614216514423	0.0	0.001372594458218647	0.0	0.0013838757587622847	0.0	0.001338424628415661	0.0	0.0015174315079491331	0.0	0.0013349805897236717	0.0	0.0014389187855706354	0.0	0.0014194860390821732	0.0	0.08393267559381026	0.0	0.08089531330237544	0.0	0.08151277480646762	0.0	0.08248488296774424	0.0	0.07940295537888521	0.0	0.08041954653104035	0.0	0.08333617771918375	0.0	0.0816137956724101	0.0	0.08234823748069046	0.0	0.07933572889729261	0.0	0.08386369777353064	0.0	0.0801010838123747	0.0	0.08144304831659727	0.0	0.0813631305768368	0.0	0.07964105620721311	0.0	0.08149098824737468	0.0	0.0821322624733139	0.0	0.08155087348267416	0.0	0.08434593821760769	0.0	0.07930410708399582	0.0	0.08030012817795093	0.0	0.08031870724299359	0.0	0.08193802012509112	0.0	0.085289926583377	0.0	0.07655776059520893	0.0	0.0830469101719999	0.0	0.07875562632133937	0.0	0.08522059456245892	0.0	0.08360452426134565	0.0	0.08194678065126466	0.0	0.07801540436024607	0.0	0.08189700355298486	0.0	0.08077136793563029	0.0	0.07764443521115472	0.0	0.08205551070588821	0.0	0.07955406601620285	0.0	0.07990669992235508	0.0	0.07754937487413001	0.0	0.08686214600982373	0.0	0.0850483042780262	0.0	0.08891004851441915	0.0	0.0829160269803326	0.0	0.08157433877770603	0.0	0.08169375483852861	0.0	0.08131997258369476	0.0	0.08747422827706725	0.0	0.08294536638940317	0.0	0.07922406461964943	0.0	0.08684417978145648	0.0	0.08083186732001171
1622	0.0	0.0013807875281619723	0.0	0.0014872515744328739	0.0	0.0014563596303327861	0.0	0.0014121980627380465	0.0	0.0014461145415664504	0.0	0.0014664721685231387	0.0	0.0014389355913528275	0.0	0.001457780682922395	0.0	0.0015014410197298133	0.0	0.0014174383365475318	0.0	0.0014520164764027868	0.0	0.001403088932838921	0.0	0.001441444826743218	0.0	0.0014569820018322484	0.0	0.0014130151749240912	0.0	0.0014229917593836226	0.0	0.0014188058927834045	0.0	0.0014533124597487744	0.0	0.0014309693725756433	0.0	0.0014438563438985827	0.0	0.0014301981325854723	0.0	0.0013921933940743267	0.0	0.001381114725866701	0.0	0.0013664473056801828	0.0	0.0013210439362420939	0.0	0.0014067880105417948	0.0	0.0013979609879361044	0.0	0.0014122765746259788	0.0	0.001353272804410485	0.0	0.0013714670745912255	0.0	0.0013597928963352552	0.0	0.001366171049126416	0.0	0.001405837668231873	0.0	0.0013727600945123398	0.0	0.0013406799755425242	0.0	0.0013373869751647737	0.0	0.0014399016458021276	0.0	0.0014417114612979356	0.0	0.0014016055355456393	0.0	0.001445969278053374	0.0	0.0014108021557110392	0.0	0.0013794587645503704	0.0	0.001447204415538422	0.0	0.0014265115614989045	0.0	0.0013604122535764726	0.0	0.0014182671281227357	0.0	0.0014688177826030337	0.0	0.0013722268338133429	0.0	0.0014037838119700576	0.0	0.0014676789519736469	0.0	0.08182395350193271	0.0	0.08090222884138684	0.0	0.08129908395609434	0.0	0.0819044766796258	0.0	0.0815169162602997	0.0	0.07898507463508991	0.0	0.08176207259222729	0.0	0.08097466661621847	0.0	0.08092703475372888	0.0	0.08265201176314706	0.0	0.07655489197005295	0.0	0.08254119373649112	0.0	0.08204570330204174	0.0	0.07800132595529859	0.0	0.08220460631728574	0.0	0.08333536332546392	0.0	0.08383312063068141	0.0	0.08447699400818752	0.0	0.08159645569104847	0.0	0.08287022533680047	0.0	0.08024471422701619	0.0	0.08177511032076697	0.0	0.08202516234270023	0.0	0.08379672759682895	0.0	0.08325784499531183	0.0	0.08211725642975477	0.0	0.08407326930118852	0.0	0.0767862389179332	0.0	0.08167859090393817	0.0	0.08448012176395173	0.0	0.08175225858099149	0.0	0.0814955864916586	0.0	0.08184629525505062	0.0	0.08196196801749495	0.0	0.08355612618822847	0.0	0.08138218905096652	0.0	0.08036022293277777	0.0	0.08367688376041017	0.0	0.08084038374998241	0.0	0.08091096968243078	0.0	0.0844463056554592	0.0	0.08321575947042235	0.0	0.08112475835912647	0.0	0.0810041926400516	0.0	0.08332697094780721	0.0	0.07890363214260597	0.0	0.08160508308951522	0.0	0.0785943678926718	0.0	0.08204585977326041	0.0	0.0813606416301056
2094	0.0	0.0014108301352668041	0.0	0.0014517029452107214	0.0	0.0014462711778255794	0.0	0.001439187427055903	0.0	0.0014369098614256755	0.0	0.0014198029263963745	0.0	0.0013930715220512421	0.0	0.001429042335704651	0.0	0.0014453274631386853	0.0	0.001444104891466719	0.0	0.0014425013839562456	0.0	0.0014712568492936482	0.0	0.001448827194215906	0.0	0.001394471248236231	0.0	0.0014361373506406353	0.0	0.0014172459937784542	0.0	0.0014794232529483002	0.0	0.0014527132310288423	0.0	0.0014183000871679982	0.0	0.0014515194721125193	0.0	0.0014496363948146357	0.0	0.0014177902673091281	0.0	0.001375158585876944	0.0	0.0013907959097997325	0.0	0.0013996859839038188	0.0	0.0013764165197750634	0.0	0.0014024326402393168	0.0	0.0013998553036521616	0.0	0.001368853095012055	0.0	0.0013938020625002205	0.0	0.001382550934975034	0.0	0.0013591495139311045	0.0	0.001348253616632216	0.0	0.0014032666068777685	0.0	0.0013191435539112396	0.0	0.0013447108122539974	0.0	0.0014296216414888838	0.0	0.0014311740597616742	0.0	0.0013841663606740345	0.0	0.0014478711575490353	0.0	0.001417653269134362	0.0	0.0013885182313345401	0.0	0.0013759162297875794	0.0	0.0013368138885250494	0.0	0.0013536765897297848	0.0	0.0013907546377655536	0.0	0.0014564505871220133	0.0	0.0014301355138146492	0.0	0.0014241223092165635	0.0	0.0014087682629765552	0.0	0.08067783545568243	0.0	0.08088413353853509	0.0	0.08164084295779314	0.0	0.08274984933382087	0.0	0.07917082742494527	0.0	0.07947045135905	0.0	0.08019718664543816	0.0	0.07875745123621614	0.0	0.08239952580234274	0.0	0.07896789373276943	0.0	0.08466264796524148	0.0	0.08157787391872462	0.0	0.08341468386708846	0.0	0.08322884303023931	0.0	0.07843555545873689	0.0	0.08191191885628199	0.0	0.08017149572530675	0.0	0.0798000666943416	0.0	0.08368987839162813	0.0	0.08222170139124939	0.0	0.0836715409835059	0.0	0.07981837974097243	0.0	0.08057281115185921	0.0	0.08269003346494117	0.0	0.08390740480752086	0.0	0.07657729974416615	0.0	0.07918373996533427	0.0	0.08413088296806194	0.0	0.08422651547712504	0.0	0.08180439424420904	0.0	0.0832747401184597	0.0	0.0860020415899347	0.0	0.0815946603276966	0.0	0.08137657881100703	0.0	0.0790712164109906	0.0	0.07805719063270666	0.0	0.07905503189204262	0.0	0.08230143382705289	0.0	0.07976876460536698	0.0	0.08074746516704029	0.0	0.08166568204719973	0.0	0.08110804972651557	0.0	0.08161714437469829	0.0	0.08353186748514922	0.0	0.07957307170694634	0.0	0.08527207926338377	0.0	0.08285822251426977	0.0	0.08154279579393846	0.0	0.08149621368205408	0.0	0.07949744894530811
2703	0.0	0.0014063409728929986	0.0	0.001427153058301143	0.0	0.0014280928139644101	0.0	0.0013880404889452728	0.0	0.0014307071361035722	0.0	0.001447187225972562	0.0	0.001425740813319142	0.0	0.0014365961510209	0.0	0.0014394652104279472	0.0	0.0014119461640686492	0.0	0.0014545968933269771	0.0	0.0014514622282421172	0.0	0.0014521389707886083	0.0	0.0014526798120040169	0.0	0.001403237134416458	0.0	0.001421731514898416	0.0	0.0014253826494172934	0.0	0.0014423620939289649	0.0	0.0013706827910622006	0.0	0.0014067297675111252	0.0	0.0014364487716021035	0.0	0.001356991095887754	0.0	0.0013859503990829914	0.0	0.0013929847430008276	0.0	0.001399722601783241	0.0	0.0013538625657615526	0.0	0.0013494917974599104	0.0	0.0014175920073179332	0.0	0.001389171070184149	0.0	0.0013522284610330965	0.0	0.001402586330145243	0.0	0.0013623611983916222	0.0	0.001368253971634567	0.0	0.0013425093345570242	0.0	0.0013523216119032376	0.0	0.0013466717412782304	0.0	0.0014410808391365519	0.0	0.0014004984049583024	0.0	0.0014247122543788982	0.0	0.0014033300307159196	0.0	0.001442186297781181	0.0	0.0014002088660628543	0.0	0.0013876622435858082	0.0	0.001420197157921185	0.0	0.0014247647778502898	0.0	0.0013870591704405247	0.0	0.0014684327390434165	0.0	0.0012885994713940602	0.0	0.001424903969084369	0.0	0.0013881717141804686	0.0	0.08412083461553897	0.0	0.08097467075098094	0.0	0.08045286296751132	0.0	0.08085595411459623	0.0	0.08164572503006344	0.0	0.08250587556439597	0.0	0.08254977617953188	0.0	0.08114910180619034	0.0	0.08328963600594494	0.0	0.08252220447931435	0.0	0.08197584158902861	0.0	0.08156410590913754	0.0	0.08079835869815358	0.0	0.08329226213467522	0.0	0.08272105360487851	0.0	0.08306747469117895	0.0	0.08300206290095886	0.0	0.08226032164537467	0.0	0.08016279386671864	0.0	0.08233724542007413	0.0	0.08039538698582852	0.0	0.08362613353129898	0.0	0.0833055601898747	0.0	0.08355301135333855	0.0	0.08169886730907348	0.0	0.08190024040469444	0.0	0.08094240088063938	0.0	0.08084152026042951	0.0	0.08109970557562815	0.0	0.07897091629467468	0.0	0.08098081250563414	0.0	0.08349358160061729	0.0	0.0808713566762804	0.0	0.08510459224151082	0.0	0.08336725594582906	0.0	0.08172488659747587	0.0	0.0814549876735331	0.0	0.08211128773419071	0.0	0.08295787439933412	0.0	0.0819844920573209	0.0	0.08119458621900606	0.0	0.08182628183920257	0.0	0.08139785142719126	0.0	0.08273857033306359	0.0	0.08337958505328495	0.0	0.08234145757662946	0.0	0.08050248039228555	0.0	0.08135634979876023	0.0	0.08062764219429726	0.0	0.08202281538733938
3488	0.0	0.0014742842189096402	0.0	0.0014389488353556202	0.0	0.0014686499892546789	0.0	0.0014356279621494947	0.0	0.0014106640191014065	0.0	0.0014338571908918119	0.0	0.0014213939364567058	0.0	0.0014272674963549876	0.0	0.0014066103712557308	0.0	0.0014163862229301138	0.0	0.0014203801014799555	0.0	0.001460529270652447	0.0	0.001456791033125735	0.0	0.0014560463250910102	0.0	0.0014024555333619463	0.0	0.0014118241899826241	0.0	0.0014522925034671293	0.0	0.001419658241146571	0.0	0.0014184287718408209	0.0	0.0014460468514272634	0.0	0.001432578031039674	0.0	0.0013459542739452475	0.0	0.0014061506817398385	0.0	0.0013981066662930857	0.0	0.0014026897522279509	0.0	0.0013814760405968152	0.0	0.0013650543367280691	0.0	0.0013700879329974366	0.0	0.0013851968683093025	0.0	0.0013968535717847651	0.0	0.001409274308274918	0.0	0.001366089512278371	0.0	0.0013929285457113076	0.0	0.001416738598951115	0.0	0.0013817087128253662	0.0	0.0013929503778215306	0.0	0.0014186028800051	0.0	0.001405930277324064	0.0	0.001451036841973166	0.0	0.0014322897750760337	0.0	0.0014319357835953887	0.0	0.0014185484749995297	0.0	0.001390979747160141	0.0	0.0014065866854976216	0.0	0.001408449697978141	0.0	0.0013870657031804263	0.0	0.0014383039915263943	0.0	0.001359740699070703	0.0	0.0013926644414761018	0.0	0.0014037995695492748	0.0	0.08322115936592277	0.0	0.08314745516953234	0.0	0.083051723227211	0.0	0.07952785341639304	0.0	0.07942515548200561	0.0	0.08046037497080659	0.0	0.08287116271148365	0.0	0.08215472650707624	0.0	0.08253595062774974	0.0	0.08352184267987853	0.0	0.08237534584298045	0.0	0.08237567003283139	0.0	0.08130927789357868	0.0	0.08169732497692614	0.0	0.08275605507761023	0.0	0.08081141052459823	0.0	0.08285349060535792	0.0	0.08076259688942887	0.0	0.08076059317220452	0.0	0.08232841632119904	0.0	0.08162882515530187	0.0	0.0830721249128909	0.0	0.08178267455930328	0.0	0.08355387695419307	0.0	0.08116475482506721	0.0	0.08309994877448096	0.0	0.08336817610722858	0.0	0.08141474947349443	0.0	0.08012592527002291	0.0	0.08108373574784226	0.0	0.08015439039401272	0.0	0.08231604426908783	0.0	0.0819764152164714	0.0	0.08247772460052491	0.0	0.08239133605528859	0.0	0.08267975352877373	0.0	0.08020933640171991	0.0	0.08009082097028528	0.0	0.08403953543772634	0.0	0.08304726832232638	0.0	0.08261863803250116	0.0	0.08036605843715976	0.0	0.08300060129776954	0.0	0.08187346668470515	0.0	0.08082351463450899	0.0	0.08016621468430475	0.0	0.08129817922225459	0.0	0.08106612727539275	0.0	0.08268013652872667	0.0	0.08157003541491967
4502	0.0	0.0014264831795560418	0.0	0.0014296285115387316	0.0	0.0013982508653509142	0.0	0.0014199147896998689	0.0	0.0014397595760733254	0.0	0.00142655347667003	0.0	0.0013941620979513072	0.0	0.001406638189006929	0.0	0.0014385237161504696	0.0	0.0014477145031634197	0.0	0.0014077060734520766	0.0	0.0014432144806055826	0.0	0.0014442047248549852	0.0	0.0014828287173926683	0.0	0.001458076308725978	0.0	0.001416233228408175	0.0	0.0014177686064536083	0.0	0.0014433444228828434	0.0	0.001426124037546587	0.0	0.0014331721188271418	0.0	0.0014317598349382643	0.0	0.0013613118718281598	0.0	0.0013839788358049748	0.0	0.0013977305099500284	0.0	0.0013861683055577088	0.0	0.0013763085496016174	0.0	0.001379539720075641	0.0	0.0013564498932941529	0.0	0.0013747959681447467	0.0	0.001366058982127961	0.0	0.0013482303048449457	0.0	0.0013921082345365419	0.0	0.001366346394673689	0.0	0.0013950771423267782	0.0	0.0013666091982876979	0.0	0.0013827013148480613	0.0	0.0014262562659729749	0.0	0.0014112177317878226	0.0	0.001455022471254214	0.0	0.0014347007122247357	0.0	0.0014384538865661843	0.0	0.0014187143325909077	0.0	0.0014169080926347798	0.0	0.0013910488427532218	0.0	0.0013992938387175176	0.0	0.001391202492978393	0.0	0.0014538199155058186	0.0	0.0013829540039740815	0.0	0.0014421603745297111	0.0	0.0013823258023829416	0.0	0.08012066874408368	0.0	0.08213577529344385	0.0	0.08220421502481716	0.0	0.08178419917858293	0.0	0.08148086420385578	0.0	0.08240899173394316	0.0	0.08179499366074809	0.0	0.08099456663028815	0.0	0.08084861758788073	0.0	0.08131930147867351	0.0	0.08230420114989244	0.0	0.0801253590362747	0.0	0.08212224321916899	0.0	0.08034867534085502	0.0	0.08020132000411871	0.0	0.08164017232222216	0.0	0.08108217213133641	0.0	0.08138847871426023	0.0	0.08096295380847603	0.0	0.0801480925905247	0.0	0.08347429773564922	0.0	0.07908878613179303	0.0	0.08003132516010533	0.0	0.0827255060750978	0.0	0.08167007571057726	0.0	0.0818260945457811	0.0	0.08416559295537487	0.0	0.0841972981222706	0.0	0.08208109092443519	0.0	0.08329024739314676	0.0	0.08073657550677381	0.0	0.08103554559723404	0.0	0.08035420951790344	0.0	0.08248916469327544	0.0	0.07915166592147807	0.0	0.08207300510653255	0.0	0.08196309290736899	0.0	0.0832840074858454	0.0	0.08180876876329378	0.0	0.08175541025960102	0.0	0.08156789372215939	0.0	0.08103805889767508	0.0	0.08001709368512587	0.0	0.08170198443345392	0.0	0.08210466862164656	0.0	0.08180809220614199	0.0	0.08207331431391986	0.0	0.08052763057634411	0.0	0.08168183233010361	0.0	0.08264724879063581
5811	0.0	0.001406962307742455	0.0	0.0014214446342533556	0.0	0.0014643042476007607	0.0	0.0014218482241779103	0.0	0.0014134243895527832	0.0	0.001441900918654643	0.0	0.0014516609786423824	0.0	0.0014424079752993486	0.0	0.0014357873093161632	0.0	0.001440837239520159	0.0	0.001443140769900036	0.0	0.001458420498259894	0.0	0.001439074071446157	0.0	0.0014314474562627977	0.0	0.001422512749968592	0.0	0.0014210167550268106	0.0	0.001455962275969672	0.0	0.0014556810223400264	0.0	0.0014475374462628039	0.0	0.0014189651238776292	0.0	0.0014511612276651995	0.0	0.0013702485877050334	0.0	0.0013707496315255646	0.0	0.0013408560835445136	0.0	0.0013672318813783496	0.0	0.0013783519061610005	0.0	0.0013705784955879952	0.0	0.0013729275818641505	0.0	0.0013858747594000529	0.0	0.0013799177729833753	0.0	0.0013747288846934214	0.0	0.0013674863179191526	0.0	0.0013729970237251283	0.0	0.001371380346777755	0.0	0.0013608914631914367	0.0	0.0013903670485194805	0.0	0.0014469245901285875	0.0	0.00142893703756992	0.0	0.0014265129261473442	0.0	0.001421540736331347	0.0	0.0014565001864645297	0.0	0.0013969027588949733	0.0	0.0014009183330262712	0.0	0.0013938518555204203	0.0	0.0013977026148570292	0.0	0.001376288298281282	0.0	0.0014595750107433878	0.0	0.001358574232668416	0.0	0.001424398755767836	0.0	0.0013833181380509367	0.0	0.08196195586550024	0.0	0.08182801517434314	0.0	0.08207053710951845	0.0	0.08341896117990445	0.0	0.08192474339850606	0.0	0.08394760366196186	0.0	0.08033309088771552	0.0	0.0805719148327977	0.0	0.08080107946575472	0.0	0.08200749056553916	0.0	0.08134537628292182	0.0	0.08146296039316495	0.0	0.08322188442994209	0.0	0.08260945272680272	0.0	0.08016111957252338	0.0	0.08038094588065876	0.0	0.08052713951160617	0.0	0.08104542968348895	0.0	0.08167170670172831	0.0	0.08290783034951382	0.0	0.08195124644968318	0.0	0.0811476419051935	0.0	0.08067797536982729	0.0	0.08059485055078233	0.0	0.08151984416737823	0.0	0.0808529765976617	0.0	0.08123189254548766	0.0	0.0809683366874236	0.0	0.08200260521147992	0.0	0.08191074955936635	0.0	0.08082999714614275	0.0	0.08221105472039265	0.0	0.08119462198216637	0.0	0.0816258312589662	0.0	0.08122491398278446	0.0	0.08126579895897376	0.0	0.0812418259825174	0.0	0.08156423714725387	0.0	0.08080120969756092	0.0	0.08329603783069744	0.0	0.08126724333963288	0.0	0.08159955743429746	0.0	0.08186466936908438	0.0	0.08213896129189814	0.0	0.08199767772413188	0.0	0.08065618831813177	0.0	0.08177842766198272	0.0	0.08211941544100204	0.0	0.08249285210703082	0.0	0.08152331311800995
