# n_S	mean[tr]_run00	std[tr]_run00	mean[tr]_run01	std[tr]_run01	mean[tr]_run02	std[tr]_run02	mean[tr]_run03	std[tr]_run03	mean[tr]_run04	std[tr]_run04	mean[tr]_run05	std[tr]_run05	mean[tr]_run06	std[tr]_run06	mean[tr]_run07	std[tr]_run07	mean[tr]_run08	std[tr]_run08	mean[tr]_run09	std[tr]_run09	mean[tr]_run10	std[tr]_run10	mean[tr]_run11	std[tr]_run11	mean[tr]_run12	std[tr]_run12	mean[tr]_run13	std[tr]_run13	mean[tr]_run14	std[tr]_run14	mean[tr]_run15	std[tr]_run15	mean[tr]_run16	std[tr]_run16	mean[tr]_run17	std[tr]_run17	mean[tr]_run18	std[tr]_run18	mean[tr]_run19	std[tr]_run19	mean[tr]_run20	std[tr]_run20	mean[tr]_run21	std[tr]_run21	mean[tr]_run22	std[tr]_run22	mean[tr]_run23	std[tr]_run23	mean[tr]_run24	std[tr]_run24	mean[tr]_run25	std[tr]_run25	mean[tr]_run26	std[tr]_run26	mean[tr]_run27	std[tr]_run27
755	4.995211147686398	0.0	5.012289762947787	0.0	5.006807110039377	0.0	5.008873174819595	0.0	4.998791236126495	0.0	4.993793899225151	0.0	5.002008410746847	0.0	5.010235453685307	0.0	5.000590946179682	0.0	4.999385109277281	0.0	5.002012443108145	0.0	4.99449966577095	0.0	4.992507123182614	0.0	5.002779142603528	0.0	4.998214972772539	0.0	5.005343290900955	0.0	4.991185183040567	0.0	4.987463865385956	0.0	4.998857527412266	0.0	4.989311026188528	0.0	5.005120667547976	0.0	5.000055249948858	0.0	4.989154973936468	0.0	4.989066650435517	0.0	4.995105414135535	0.0	5.0107758807134095	0.0	4.998059553953442	0.0	5.017927827107665	0.0
974	5.01277360901172	0.0	4.993342071268391	0.0	5.004557256629269	0.0	4.994584602371441	0.0	5.000729308431458	0.0	5.011601454791005	0.0	5.001430952391327	0.0	4.985040353297317	0.0	4.995936343085427	0.0	5.001326622150197	0.0	4.990308835286195	0.0	5.004734887009601	0.0	4.997699940333415	0.0	5.008144817990827	0.0	5.001136744595426	0.0	4.982487196768437	0.0	4.994643634681038	0.0	4.992211308807519	0.0	5.00563541262096	0.0	5.0045436729136386	0.0	4.9905754376499125	0.0	4.989850798180333	0.0	5.010739498160156	0.0	5.004788186655878	0.0	4.993169215828014	0.0	5.010801730426885	0.0	4.99748388907375	0.0	4.998272609842027	0.0
1257	5.003489476611418	0.0	5.012335348079947	0.0	5.0013552238714425	0.0	4.988598163561281	0.0	5.005153478116845	0.0	4.989723968175607	0.0	5.004130373228905	0.0	4.9976724287345675	0.0	4.989038343861449	0.0	5.000270380205079	0.0	4.9897336123554	0.0	5.002515356332186	0.0	4.991057938447136	0.0	5.0076569879088835	0.0	4.9961489419823195	0.0	5.010235057081748	0.0	4.998931929493966	0.0	4.994349027816533	0.0	4.990562231753042	0.0	5.00796394924562	0.0	4.997789713887704	0.0	5.0030643062263875	0.0	5.006111322611466	0.0	5.000826021883751	0.0	5.001713780068738	0.0	4.993776111152605	0.0	5.002819076494121	0.0	5.008111501429227	0.0
1622	5.000751224053482	0.0	5.002811122212283	0.0	5.005742598454947	0.0	5.003374721545621	0.0	5.0081071513292965	0.0	4.9928532009554605	0.0	5.0003807142943	0.0	5.007427765789256	0.0	5.0052548875329785	0.0	4.987026651270588	0.0	4.992420480519347	0.0	5.012439405422857	0.0	4.994085621633666	0.0	4.996430585778716	0.0	4.998914365693045	0.0	5.002105700762857	0.0	5.009450286304135	0.0	5.009890639083608	0.0	5.002678082146253	0.0	5.0085368113086055	0.0	4.990873592606879	0.0	4.991153501776906	0.0	5.009132281626966	0.0	4.994911869849755	0.0	4.991869692820297	0.0	5.004007727298123	0.0	4.994883381080771	0.0	5.01836016332986	0.0
2094	5.006510030116334	0.0	5.0010346260434595	0.0	4.986756242778278	0.0	5.002875661947357	0.0	4.9985956064982755	0.0	5.006316814728737	0.0	5.002680630610288	0.0	5.005148936511717	0.0	4.998314228689052	0.0	5.001411711740888	0.0	4.997534085467147	0.0	5.005213163673315	0.0	4.9978674711314115	0.0	5.001673794524468	0.0	4.9985835694799245	0.0	4.99794832015748	0.0	5.0048098211121745	0.0	4.9988243036277735	0.0	4.999957022404935	0.0	4.995433666445675	0.0	4.9962442102962346	0.0	5.002085093582738	0.0	4.999443632558902	0.0	5.003146753265001	0.0	4.996860767275714	0.0	5.0023712465024825	0.0	4.997752930282577	0.0	4.994908228753064	0.0
2703	5.006128320154201	0.0	4.9984192111376045	0.0	5.002628478084972	0.0	5.0010040194328695	0.0	4.997802888096079	0.0	5.001026569062271	0.0	4.996466682829131	0.0	5.001813219506144	0.0	4.990363285082322	0.0	5.0064232013568875	0.0	4.997454255044009	0.0	5.0116028798636965	0.0	5.000155292541841	0.0	5.000703743607428	0.0	4.992729760385779	0.0	5.001774731649466	0.0	5.000768249191	0.0	5.004824916967613	0.0	5.003951030387703	0.0	5.005579757370977	0.0	4.9942411462058995	0.0	4.988648471654019	0.0	4.995654992523801	0.0	5.003463413516339	0.0	4.994676238595527	0.0	4.998348362342776	0.0	5.013464501048373	0.0	4.996204107352698	0.0
3488	5.002764500844173	0.0	4.997121647655417	0.0	4.997938029841951	0.0	5.00320523667864	0.0	5.0011241048043	0.0	5.000591116840205	0.0	5.006777357970822	0.0	4.9990006479258735	0.0	5.007635534609993	0.0	4.997944839587391	0.0	4.9972768058490455	0.0	5.010878077483076	0.0	4.999884744270771	0.0	4.993596472240161	0.0	5.003217179763205	0.0	5.001388021132805	0.0	4.995797503263979	0.0	4.996612760326209	0.0	4.995343673336813	0.0	4.998617124199403	0.0	5.003165128637592	0.0	5.0032635844707665	0.0	4.993376144874124	0.0	4.998385579989667	0.0	5.000701367894397	0.0	5.000361360201228	0.0	4.998139745223564	0.0	4.9964213485597835	0.0
4502	4.998337181678209	0.0	5.0017589044249995	0.0	5.008111420441223	0.0	5.008487768717075	0.0	5.004188090289167	0.0	4.999952112262085	0.0	4.998457355063579	0.0	4.998187344492067	0.0	4.997623937954657	0.0	5.004752008542101	0.0	5.0039502378412895	0.0	5.002019227156455	0.0	5.005669322936219	0.0	5.001428811927235	0.0	5.00292154742379	0.0	5.004768596255232	0.0	5.001934503996248	0.0	5.003527694207747	0.0	4.998655526355689	0.0	4.9960128165779425	0.0	5.002826684142366	0.0	4.999148355143718	0.0	4.9900116923005635	0.0	5.003615629023257	0.0	5.003956290665221	0.0	4.997800537886467	0.0	5.001992602994896	0.0	4.991481777852839	0.0
5811	4.99776513185185	0.0	4.995078211311903	0.0	5.000674793281041	0.0	5.0050151625521195	0.0	4.998363820617041	0.0	5.003483716504421	0.0	5.001222554081703	0.0	4.997418218043661	0.0	5.002653115908665	0.0	4.996511082999566	0.0	4.999448211405858	0.0	4.996959880257549	0.0	5.0011957312228	0.0	4.997781981395738	0.0	5.000561231825169	0.0	5.003331838520058	0.0	4.99917352202491	0.0	4.996012932435938	0.0	5.003648470535069	0.0	5.00148582922681	0.0	4.996606304186064	0.0	4.997106464881955	0.0	4.995061603016946	0.0	4.99221230557906	0.0	5.0058563500558195	0.0	4.998662547175439	0.0	5.001055751986739	0.0	5.003346204937392	0.0
7500	5.0012890799782745	0.0	4.998947868786273	0.0	4.997576373184486	0.0	5.000540750301297	0.0	5.005751651814531	0.0	4.99671757478042	0.0	5.002032767078983	0.0	4.998867877014833	0.0	5.000946455251685	0.0	4.9984597217933535	0.0	4.997919538488051	0.0	5.002785617916889	0.0	5.001270865083193	0.0	4.995307846015595	0.0	5.000240369887669	0.0	4.993297637299738	0.0	4.997702757853546	0.0	4.999180060048055	0.0	4.99747192836085	0.0	4.996277881592412	0.0	5.00271444632138	0.0	4.996740155928473	0.0	4.99507471276766	0.0	5.0014465852637535	0.0	5.002492364462409	0.0	5.002370978610924	0.0	5.003743683723481	0.0	4.996986836203622	0.0
